term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-8.18957951001851,0.37115542555726416,6.84256286567053e-108,0.0002775305585281406,0.00013408399257566005,0.0005744400165700578,5411,1.0948100585072848e-106,具体能力解释,full_hybrid
C(reply_source_type)[T.browser],2.7000138855970124,0.7570031861824201,0.00036148558379173114,14.879938340265703,3.3746365872651984,65.61078779435084,5411,0.0014459423351669246,具体能力解释,full_hybrid
is_author,0.09416987942184193,0.3191386403052324,0.7679364789753663,1.0987463844642444,0.5878156764946494,2.0537792128520036,5411,0.8191322442403908,具体能力解释,full_hybrid
source_negative,-0.45595169299935834,0.17831575439988603,0.010558209582758113,0.6338444554835196,0.4468865268025175,0.8990174678610074,5411,0.024133050474875687,具体能力解释,full_hybrid
is_author:source_negative,-0.4958985755914885,0.43315153213875507,0.25226647445535966,0.6090234077794218,0.26057212659624623,1.4234427759726591,5411,0.3669330537532504,具体能力解释,full_hybrid
log_reply_length,1.2705069805680587,0.09298134432054031,1.6633313267107524e-42,3.5626583031094157,2.969113863090373,4.274855990704096,5411,1.330665061368602e-41,具体能力解释,full_hybrid
e0,0.7212655285005322,0.27458768001516876,0.0086211709333265,2.0570348002700896,1.2009028821470074,3.523509046757558,5411,0.022989789155537333,具体能力解释,full_hybrid
e1,-0.7447067329873412,0.32820772273708243,0.023267694038828484,0.4748735442667483,0.24957548372863692,0.9035538253815609,5411,0.04653538807765697,具体能力解释,full_hybrid
e2,-0.5958427089926177,0.34049447503953795,0.0801297788602301,0.5510979549269862,0.2827444253321466,1.0741465744830598,5411,0.1424529401959646,具体能力解释,full_hybrid
e3,0.18477202513559238,0.31148470052678884,0.5530488147558545,1.2029441678317372,0.6532874889273229,2.2150656417688954,5411,0.6806754643148979,具体能力解释,full_hybrid
e4,0.6064698033307332,0.18442031634605843,0.0010071581345278571,1.8339457684983382,1.2776289576097242,2.6324991005881384,5411,0.0032229060304891427,具体能力解释,full_hybrid
e5,0.3240681236347398,0.3226264698560237,0.31515285091571654,1.3827415012879918,0.7347097488524935,2.602352918782399,5411,0.4202038012209554,具体能力解释,full_hybrid
e6,1.5980823352052917,0.3708533349333235,1.638438629183433e-05,4.943543269904534,2.3898002827192384,10.226218583257882,5411,8.738339355644976e-05,具体能力解释,full_hybrid
e7,0.26035879924719285,0.19579547860773008,0.1836010562127266,1.2973955076958938,0.8839097283376148,1.9043065704856277,5411,0.29376168994036256,具体能力解释,full_hybrid
e8,0.02422519746455925,0.432481407058823,0.9553303154851921,1.0245210114480103,0.4389198922402395,2.3914234042596996,5411,0.9553303154851921,具体能力解释,full_hybrid
e9,0.07924130743570222,0.2613596330581938,0.7617460016012361,1.0824654975307022,0.6485452032362883,1.8067076088102483,5411,0.8191322442403908,具体能力解释,full_hybrid
