analysis,scope,feature,or,ci_low,ci_high,p,n
RQ2_strategy,adjudicated,同层直接回应,1.6069911857456751,0.970822567412399,2.660033622773517,0.0650610698816962,1010
RQ2_strategy,adjudicated,具体能力解释,0.5833393849937125,0.32243349932535603,1.0553644047434216,0.07477275921165535,1010
RQ2_strategy,adjudicated,个人经验回应,0.8301959930217128,0.4482216367369822,1.537688791301584,0.554013769820763,1010
RQ2_strategy,adjudicated,市场结果回应,0.7137239787638435,0.38568963365859393,1.3207560520369224,0.28280812313335324,1010
RQ2_strategy,adjudicated,公共价值回应,2.562960488805083,0.4044185090296142,16.24249711749712,0.31777948706846837,1010
RQ2_strategy,adjudicated,身份否定,1.0547691754891164,0.4065245680809875,2.7367054808366493,0.9127143128589918,1010
RQ2_strategy,adjudicated,反讽与情绪,1.2330904719520948,0.7358899111051517,2.0662222556299907,0.42628839358929127,1010
RQ2_translation,adjudicated,作者回复,1.0443771319152657,0.49467030165743314,2.204950630779729,0.9093289495606982,1010
RQ2_strategy,adjudicated_plus_high,同层直接回应,1.5741817362407267,1.0605954503717439,2.3364687618123394,0.02432299525283598,2253
RQ2_strategy,adjudicated_plus_high,具体能力解释,0.6872231838925972,0.3734733021543299,1.2645501077459096,0.22797274295742298,2253
RQ2_strategy,adjudicated_plus_high,个人经验回应,0.6393518966088345,0.37641758584593354,1.085950452550382,0.09793883013364106,2253
RQ2_strategy,adjudicated_plus_high,市场结果回应,0.6288081595134127,0.35236526173471694,1.1221301995664024,0.11640585212746354,2253
RQ2_strategy,adjudicated_plus_high,公共价值回应,4.417188687705225,0.8364863609280018,23.32561152717995,0.0801699818901735,2253
RQ2_strategy,adjudicated_plus_high,身份否定,2.2830024438416316,0.9474008645341807,5.501472875633859,0.06582863706733187,2253
RQ2_strategy,adjudicated_plus_high,反讽与情绪,1.2041491856666768,0.7540944477512997,1.9228032584851,0.436565131205361,2253
RQ2_strategy,adjudicated_plus_high,话题转移,10.07573510527309,3.0600966839562296,33.175565479317584,0.00014496216906941263,2253
RQ2_translation,adjudicated_plus_high,作者回复,1.6884563468334388,0.7433940246231029,3.8349579640588405,0.21074473444654906,2253
RQ2_strategy,full_hybrid,同层直接回应,2.466959213591943,1.7866560699271905,3.406300666347155,4.1224065836569844e-08,5411
RQ2_strategy,full_hybrid,具体能力解释,1.0987463844642444,0.5878156764946494,2.0537792128520036,0.7679364789753663,5411
RQ2_strategy,full_hybrid,个人经验回应,0.8051831776291378,0.5031959991410272,1.2884044202331895,0.36628634244014635,5411
RQ2_strategy,full_hybrid,市场结果回应,0.9806702117446743,0.6190253559706759,1.553593976284393,0.9337307862497259,5411
RQ2_strategy,full_hybrid,公共价值回应,5.926946227128593,1.1726022919636176,29.95789094054048,0.031349387209270295,5411
RQ2_strategy,full_hybrid,身份否定,2.9825315277510605,1.2581595258629414,7.070243582925518,0.013083260571657885,5411
RQ2_strategy,full_hybrid,反讽与情绪,0.9413058552496221,0.6142348603432939,1.44253732624685,0.7812295847242348,5411
RQ2_strategy,full_hybrid,话题转移,1.7774899715785584,0.7673775577114851,4.117230908452273,0.17953998133281568,5411
RQ2_strategy,full_hybrid,其他,0.4588380934378596,0.32970730731835485,0.6385433119515505,3.832929515573417e-06,5411
RQ2_translation,full_hybrid,作者回复,2.3842381925704954,1.0023819248810673,5.671083663630808,0.049370105903302215,5411
