term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-4.014415234417009,0.3041382765583299,8.854297206248263e-40,0.018053508535089618,0.009946582476878161,0.03276795534387908,5411,1.416687552999722e-38,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
C(reply_source_type)[T.browser],0.5978558785525705,0.7317326445423621,0.41390475829989803,1.8182161417729759,0.43329343359875866,7.6297254512865935,5411,0.6020432847998517,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
is_author,0.0773690379371917,0.17171505057316008,0.6523020634550794,1.080440726446525,0.7716744913629007,1.5127520430312058,5411,0.801167447306453,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
source_negative,-0.031678195320960535,0.10917092089651648,0.7716857009198266,0.9688183021827951,0.7821934423619507,1.1999703037781586,5411,0.8231314143144817,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
is_author:source_negative,-0.06529444256895311,0.17006334548957594,0.7010215163931464,0.936791591442418,0.6712466661985292,1.3073859878771654,5411,0.801167447306453,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
log_reply_length,0.7498442222429907,0.08673066091486482,5.3492932588033876e-18,2.1166702607834766,1.7857743431472537,2.508879696966141,5411,4.27943460704271e-17,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e0,-0.3172236379769154,0.178690436124758,0.07585343884156386,0.7281678909210896,0.5130115636786804,1.0335604787664612,5411,0.19212329767362785,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e1,0.21331227943254313,0.14168085698361976,0.13217427385031527,1.2377711213605225,0.937646562282155,1.633960396703353,5411,0.26434854770063054,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e2,0.10984199854807075,0.21630963428885905,0.6115937192123388,1.116101710835887,0.730427803236778,1.7054156802503169,5411,0.801167447306453,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e3,0.1863516438923462,0.14455576293670397,0.1973517576578514,1.2048458625834966,0.907576288908361,1.5994837792981886,5411,0.3508475691695136,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e4,-0.6698682469400963,0.1874698862644444,0.00035263910572386214,0.5117760013989809,0.35440703003063007,0.7390222354937299,5411,0.0014105564228954486,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e5,-1.0800813069080248,0.24217313812861221,8.197684964344382e-06,0.3395679153052408,0.21124416009660035,0.545844055769487,5411,4.372098647650337e-05,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e6,-0.6880955833818291,0.3982879244785695,0.08405394273221219,0.5025321890036393,0.23021539337505995,1.0969666158394598,5411,0.19212329767362785,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e7,0.10617475676368365,0.1261389147896939,0.3999397764514445,1.1120161918779299,0.8684393609082778,1.4239105994751171,5411,0.6020432847998517,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e8,-0.5540772427648454,0.201249850446023,0.00590192757620475,0.5746022350099368,0.3873111322550932,0.8524612410597007,5411,0.0188861682438552,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
e9,-0.020436940182177583,0.1277562230736148,0.8729060802941704,0.9797704786744033,0.762739182740108,1.2585562832019317,5411,0.8729060802941704,binomial_gee_exchangeable,note_id,full_hybrid,市场结果回应
