term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-6.055183528525259,0.2931209309682346,8.335754911070808e-95,0.0023456715835188983,0.0013205584637960733,0.004166551749561711,5411,1.3337207857713293e-93,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
C(reply_source_type)[T.browser],1.7258177764077995,1.0392772298658257,0.09679496761499096,5.617112694201079,0.7325925527985628,43.068899484200166,5411,0.22124564026283647,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
is_author,-0.16143358009578218,0.24030224581369863,0.5017149200696658,0.85092304781578,0.5313013089306796,1.3628237332247335,5411,0.5923832964892115,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
source_negative,-0.07934747903869124,0.12284536644272395,0.51833538442806,0.923718895719035,0.726058711736687,1.1751895329063087,5411,0.5923832964892115,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
is_author:source_negative,0.6149368197391425,0.29497162280797057,0.03709362236189809,1.8495397414634716,1.0374776586250856,3.2972249829323244,5411,0.11869959155807389,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
log_reply_length,1.0196033388033447,0.09809093681099901,2.627424703890725e-25,2.7720949633492,2.287238289484448,3.3597332298761584,5411,2.10193976311258e-24,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e0,0.049080544792493255,0.18261866606287602,0.7881145783224258,1.0503049439269754,0.734289406942589,1.5023238314585907,5411,0.7881145783224258,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e1,0.35971949248265356,0.18484664427095698,0.05164959127482818,1.4329274112698307,0.9974233948715494,2.0585851269639464,5411,0.13773224339954182,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e2,0.8904441628935058,0.26499836638407265,0.0007788962920238126,2.436211485759432,1.4492517152507343,4.095304039243001,5411,0.004154113557460334,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e3,0.11336552071666943,0.10503213398183257,0.28043560533742395,1.1200412564186701,0.9116515248354534,1.3760657245720507,5411,0.4985521872665315,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e4,-0.29060398950712146,0.40004076648250175,0.4675715664485297,0.7478117606922309,0.34140565936949,1.637999881028304,5411,0.5923832964892115,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e5,-0.7159135177522725,0.33121941533694454,0.030660755513195418,0.4887454301747929,0.2553542271182435,0.9354538525267176,5411,0.11869959155807389,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e6,-0.2779005374013666,0.3730270836392664,0.45627923938646897,0.7573721479701606,0.3645711231476282,1.573390030369076,5411,0.5923832964892115,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e7,0.22904825427882436,0.16912562588611166,0.17563801021558567,1.2574027126070357,0.9026341361933914,1.7516084516138724,5411,0.35127602043117134,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e8,0.49712468859334386,0.5354793095654952,0.3532139684437471,1.6439874924287599,0.5755582968812805,4.695779541198556,5411,0.5651423495099953,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
e9,-0.04660465019431444,0.17262879023157626,0.7871830852464407,0.9544646704300734,0.6804798424203187,1.3387653098715608,5411,0.7881145783224258,binomial_gee_exchangeable,note_id,full_hybrid,个人经验回应
