term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-0.10062822591274424,0.27133020593542184,0.7107343814877463,0.9042691542408391,0.5312962894026365,1.5390709847246011,5411,0.7620240895167538,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
C(reply_source_type)[T.browser],1.6944344401144267,0.8876769871338098,0.056282575141312706,5.443566431656361,0.955603257514693,31.009119383836293,5411,0.15008686704350055,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
is_author,0.8046622119314119,0.1582845534197339,3.702629629544592e-07,2.2359410970196727,1.6395543829958865,3.049263044392765,5411,5.924207407271347e-06,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
source_negative,-0.16193536805428774,0.09150581880184784,0.0767816463061029,0.8504961719863037,0.7108550250125159,1.0175685802468943,5411,0.17550090584252093,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
is_author:source_negative,0.16557070256204426,0.1772089150150729,0.3501363215872343,1.1800663934874425,0.83380245360014,1.6701278426631698,5411,0.46684842878297905,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
log_reply_length,-0.22304715357684335,0.07542843358824355,0.0031057766198623565,0.8000771219070221,0.6901220013913937,0.9275510702577736,5411,0.016564141972599235,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e0,0.1065000318461825,0.09386495309954881,0.25653913018600016,1.1123779618706755,0.9254499047253699,1.3370628963679625,5411,0.4104626082976003,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e1,-0.264149556539508,0.09538442045229208,0.005617420503663134,0.7678586927799462,0.63692522236282,0.9257083113939901,5411,0.022469682014652537,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e2,0.007843790164637491,0.24317189392402255,0.974267774685931,1.0078746332762702,0.6257695404400276,1.6232993310723935,5411,0.974267774685931,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e3,-0.1278220962202439,0.10043602294513647,0.20313452098253582,0.8800099223108224,0.7227609836378526,1.071471040768756,5411,0.3611280373022859,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e4,0.6115141630351891,0.16154419395517017,0.0001534433100576349,1.843220222808775,1.3429753230609616,2.529801353332097,5411,0.0012275464804610793,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e5,0.438440773234479,0.17207472372177507,0.010835261972321096,1.5502880823382652,1.1064694988968113,2.172127781774665,5411,0.034672838311427506,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e6,0.30668353109874075,0.2142542929079131,0.152315693662439,1.3589108469929407,0.8929230402050816,2.0680826979791513,5411,0.304631387324878,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e7,-0.09088213832613673,0.1098183944089872,0.4079154585206429,0.9131253270367237,0.7362936996843568,1.1324256383469884,5411,0.5020497951023297,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e8,0.1436575761597334,0.14997729906035337,0.3381322813115367,1.1544887163731226,0.8604515838942913,1.5490054538578242,5411,0.46684842878297905,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
e9,0.04112551564631674,0.11237817328538982,0.7143975839219567,1.0419828824929784,0.8359924441862137,1.2987298329774555,5411,0.7620240895167538,binomial_gee_exchangeable,note_id,full_hybrid,同层直接回应
