term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-5.44742632095412,0.4747273043496109,1.7647609361392553e-30,0.004307376241307146,0.0016987003208159192,0.010922167881422234,1010,2.8236174978228085e-29,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
C(reply_source_type)[T.browser],1.4538834150976012,0.8524117906084648,0.08808042319239114,4.279702145921297,0.8050557941236512,22.751032402345714,1010,0.17616084638478227,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
is_author,-0.37826089517005357,0.29237363967662966,0.1957488353632877,0.6850517506563941,0.38623347728676527,1.2150575459541384,1010,0.3131981365812603,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
source_negative,-0.3153928342907123,0.255254910309439,0.21660747832371008,0.7295022444769551,0.4423329240959349,1.2031062932622565,1010,0.3150654230163056,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
is_author:source_negative,-0.8399483659296308,0.4613254280520364,0.06864813394036555,0.43173281497612226,0.1747941636738547,1.0663583932641734,1010,0.17616084638478227,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
log_reply_length,0.8954598712171461,0.10234351912665138,2.142027291692596e-18,2.448461507573416,2.003441744345881,2.9923324553796933,1010,1.713621833354077e-17,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e0,0.528889914674728,0.251571208493849,0.035522911418813745,1.6970473951950513,1.0364592592331456,2.7786619067585328,1010,0.13821927216390245,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e1,-0.5355334590951952,0.3123664370517147,0.08644798002988605,0.5853569428548482,0.3173431254842427,1.0797232491661064,1010,0.17616084638478227,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e2,-0.5573038565438048,0.35250024901394805,0.1138774131860491,0.5727512034089969,0.2870197229191221,1.1429317040309874,1010,0.20244873455297618,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e3,0.5076324251685543,0.25107524666554903,0.04319352255121952,1.661353157064917,1.0156460796863702,2.717574918757013,1010,0.13821927216390245,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e4,0.0754701386016316,0.3775737912211202,0.8415730048641381,1.0783910249732507,0.5144924016712283,2.260338926221876,1010,0.8910124144530008,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e5,-0.05191999799734703,0.3789137718488507,0.8910124144530008,0.9494048180914988,0.45176597357002296,1.995213365655661,1010,0.8910124144530008,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e6,2.1000952170758738,0.6257166179189652,0.0007899167525488432,8.166947508407427,2.395736372325101,27.84072253340203,1010,0.004212889346927164,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e7,0.08316288627122319,0.22666674058299377,0.7136973659285255,1.086718805706773,0.6969065684989831,1.694571146345104,1010,0.8910124144530008,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e8,-0.13112759494646464,0.6318049112718804,0.8355846919469816,0.8771058529765376,0.25424288695084063,3.0259044276603535,1010,0.8910124144530008,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
e9,-0.0901907462264842,0.4237156135709522,0.831438665004134,0.9137568729716067,0.3982507890799619,2.096547315905519,1010,0.8910124144530008,binomial_gee_exchangeable,note_id,adjudicated,具体能力解释
