term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-0.01969505918075772,0.33439075950121927,0.9530330837362904,0.9804976214716462,0.5091050249796119,1.8883639692027314,1010,0.9530330837362904,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
C(reply_source_type)[T.browser],-0.9774599275309919,0.8611522328080224,0.25634994903771313,0.376265628014313,0.06957720331758196,2.034801861448628,1010,0.6835998641005684,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
is_author,0.26747374885560665,0.23366532054673836,0.25233867166048174,1.3066593280831655,0.8265372613650379,2.065676503013334,1010,0.6835998641005684,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
source_negative,0.33974530917573215,0.2368103921206858,0.15138050209656365,1.4045898088674915,0.8830238580969828,2.2342233599737407,1010,0.6055220083862546,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
is_author:source_negative,0.18134443838601816,0.30769960024768434,0.5556228505909117,1.1988280305801688,0.6559001066382011,2.191170015615639,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
log_reply_length,-0.35325342179608255,0.09229881827618786,0.00012956709628221343,0.7023991675617729,0.5861619832833458,0.8416864359369128,1010,0.002073073540515415,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e0,-0.3259737064166307,0.17751484969364062,0.06631064525602999,0.721824166526101,0.5097153675949051,1.0221981923746661,1010,0.3885089875541447,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e1,-0.1625612379612067,0.25430968179289715,0.5226762341826019,0.8499640385668248,0.5163305001984682,1.3991791431634089,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e2,-0.12789197817166403,0.299397127325004,0.6692591416412945,0.8799484276488908,0.48933382792583774,1.582374222121238,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e3,0.06066622796964469,0.20328239826520422,0.7653725102970007,1.0625442074574303,0.7133612872773705,1.5826485301863016,1010,0.8163973443168008,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e4,0.16138400917707132,0.2863522611304513,0.5730361932378948,1.1751361452444644,0.6704095915991702,2.05985262914566,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e5,-0.185688629856694,0.37841288295328784,0.6236359767257869,0.8305321576424427,0.3955896349364968,1.7436848793799689,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e6,-0.3857926893019925,0.5756157574989343,0.5027136847230385,0.6799114639909898,0.22002819670535878,2.101001625193578,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e7,0.185061078308873,0.20775671632454276,0.37305869862431174,1.2032919329196081,0.8008015738088979,1.8080777101156569,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e8,-0.11106753777881154,0.2580848459972868,0.6669390196493281,0.8948783087947751,0.5396071868264964,1.4840558226458276,1010,0.7648675904471938,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
e9,-0.4848118375929011,0.2702711618178946,0.07284543516640213,0.6158130587309638,0.36256797147192865,1.0459438040377111,1010,0.3885089875541447,binomial_gee_exchangeable,note_id,adjudicated_plus_high,反讽与情绪
