term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-1.959020943566203,0.5041475897203315,0.00010198992100894225,0.14099639679636505,0.05248907536004462,0.37874517265150626,1010,0.001631838736143076,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
C(reply_source_type)[T.browser],0.5410921459474329,0.6021990375941603,0.3689046119951044,1.7178820159095438,0.5277049450119512,5.592364916191192,1010,0.590247379192167,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
is_author,-0.3693827160178934,0.2799275246624817,0.18698011359239597,0.6911608415011673,0.39930063910276337,1.1963499730378861,1010,0.4831850153464125,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
source_negative,-0.10519018248307248,0.31161075846767594,0.7356878847951942,0.9001533129140454,0.4887289346461165,1.6579251386800822,1010,0.8407861540516505,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
is_author:source_negative,-0.1849893471101068,0.3555159656001246,0.602826288756448,0.83111313756171,0.41403670913216745,1.6683280303224786,1010,0.7800920158709753,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
log_reply_length,0.2251812075262071,0.11515327452438087,0.050525128671588905,1.2525496670552596,0.9994809242248888,1.5696954593274808,1010,0.16168041174908448,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e0,-0.2827903110418507,0.2262787718332535,0.21139344421405548,0.7536778092060652,0.48369695043501304,1.1743515016557282,1010,0.4831850153464125,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e1,0.5726531227832647,0.2464803130361338,0.020161863232612987,1.7729647100116994,1.0936838854044546,2.874142981254962,1010,0.08064745293045195,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e2,-0.026420730522740733,0.36805341977871975,0.9427729761578431,0.9739252433206408,0.47340433097331047,2.0036368860990534,1010,0.9427729761578431,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e3,0.23833961558348715,0.24461447355016158,0.3298837943747768,1.2691401394116537,0.7857593117659827,2.049885593905046,1010,0.590247379192167,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e4,-0.21884407405376982,0.23315725536792078,0.3479302619617952,0.8034469866187051,0.5087328287819463,1.2688920859545398,1010,0.590247379192167,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e5,-0.8155831756679964,0.3252221052854427,0.01214947307822013,0.44238126613076467,0.23386330475572126,0.8368186912772632,1010,0.08064745293045195,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e6,-0.6084888295982396,0.8445549935073539,0.471226705195413,0.5441725855460461,0.10395297798203393,2.8486322239950415,1010,0.6854206621024189,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e7,0.037363299843553105,0.21641697561595216,0.8629305104514049,1.0380700830394558,0.6792174363889869,1.5865162458585775,1010,0.9204592111481652,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e8,-1.103797103650987,0.4614236554642205,0.016749747336713302,0.33160953432348045,0.13423175360851491,0.8192166182596904,1010,0.08064745293045195,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
e9,-0.1234350711195379,0.25912662289862787,0.6338247628951674,0.8838790286568027,0.531887513917996,1.4688108234474202,1010,0.7800920158709753,binomial_gee_exchangeable,note_id,adjudicated_plus_high,市场结果回应
