term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,0.2988997899466902,0.24363586994866854,0.21988649943883254,1.3483744960223312,0.8364182306030541,2.173689806130389,5411,0.5025977130030458,binomial_gee_exchangeable,note_id,full_hybrid,其他
C(reply_source_type)[T.browser],-30.48541222454585,0.48752010128286916,0.0,5.759087703593386e-14,2.214971815100094e-14,1.4974046600309325e-13,5411,0.0,binomial_gee_exchangeable,note_id,full_hybrid,其他
is_author,-0.8151408936070582,0.1555479832770846,1.6018847540674814e-07,0.44257696670310553,0.32627491976846584,0.6003353601163091,5411,8.543385355026567e-07,binomial_gee_exchangeable,note_id,full_hybrid,其他
source_negative,0.13019013687408457,0.1000654784904864,0.19324152511349357,1.1390449371803302,0.936188718061177,1.3858566589042784,5411,0.5025977130030458,binomial_gee_exchangeable,note_id,full_hybrid,其他
is_author:source_negative,-0.44693628181626127,0.32599235924592174,0.1703742318749527,0.6395846601493612,0.33760412222989666,1.2116811098053253,5411,0.5025977130030458,binomial_gee_exchangeable,note_id,full_hybrid,其他
log_reply_length,-0.40844411074827397,0.06945776914307544,4.0911087470453414e-09,0.6646836201235754,0.580084591728482,0.761620496666071,5411,3.272886997636273e-08,binomial_gee_exchangeable,note_id,full_hybrid,其他
e0,0.029248384833927676,0.10830099332882442,0.7871097004290359,1.0296803196898883,0.8327501997082801,1.2731807943463511,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
e1,-0.0338074250463801,0.10755175203075328,0.7532655938720448,0.9667576600240397,0.7830107459380807,1.193623942025778,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
e2,-0.27437279482668864,0.1930293323946443,0.15519914915210936,0.7600486802240433,0.5206327988859866,1.109561283012473,5411,0.5025977130030458,binomial_gee_exchangeable,note_id,full_hybrid,其他
e3,-0.011050911259877743,0.09601190059528729,0.9083663428346173,0.98900992575226,0.8193579473757027,1.1937891569482526,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
e4,-0.030703532422465346,0.14063308829090285,0.8271769306971195,0.9697630337599357,0.7361330622653293,1.2775412352125886,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
e5,-0.05082953715646882,0.17823666977394,0.775506226348126,0.9504406715439372,0.6702038159725258,1.3478548593670223,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
e6,-0.06484336224756268,0.2820352121426551,0.818159923984985,0.937214255015005,0.5392195956049051,1.628966319033641,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
e7,0.09794754053947023,0.1132288311282094,0.3870164833592957,1.102904925793464,0.8833966531110669,1.376957079309369,5411,0.688029303749859,binomial_gee_exchangeable,note_id,full_hybrid,其他
e8,0.10937657664829686,0.12399660734324632,0.3777263547230849,1.1155823735221435,0.8748902983974483,1.4224915219575704,5411,0.688029303749859,binomial_gee_exchangeable,note_id,full_hybrid,其他
e9,0.018027943969605987,0.1257083768250659,0.8859657220451135,1.0181914283025877,0.7958373289741018,1.3026704665955682,5411,0.9083663428346173,binomial_gee_exchangeable,note_id,full_hybrid,其他
