term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster,scope,strategy
Intercept,-1.7272024758885323,0.1713522697401437,6.78404711961948e-24,0.17778106175512245,0.12706545589114315,0.24873877559496246,5411,1.0854475391391168e-22,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
C(reply_source_type)[T.browser],-1.0349148456114616,1.0241670481140295,0.31225858446828536,0.3552566312981696,0.047725842327690664,2.6444221395773635,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
is_author,-0.006042202831833381,0.19590343314541675,0.9753949380195762,0.9939760145661588,0.67704811899282,1.4592586402906795,5411,0.9753949380195762,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
source_negative,0.2363349280943973,0.09255784383119053,0.010668442039434628,1.2665984585413974,1.0564577367369303,1.5185384132209019,5411,0.05689835754365135,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
is_author:source_negative,0.10627872594399577,0.22807655477878197,0.6412310311327307,1.1121318133003215,0.7112357553124123,1.738997457476497,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
log_reply_length,0.12927498090314257,0.04110334184312415,0.0016601818662534797,1.1380030102404473,1.0499183832294572,1.2334776416933058,5411,0.013281454930027838,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e0,0.026906250196157284,0.07250269469696032,0.7105579127288293,1.027271491748146,0.8911887517003819,1.1841337940419259,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e1,-0.012891229543463566,0.09375631505367578,0.8906378164138584,0.9871915064516076,0.8214751372319686,1.1863378771194644,5411,0.9500136708414489,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e2,0.07393681909759606,0.1355747356557043,0.5855070549048829,1.0767387740197016,0.8254804794955756,1.404474625718468,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e3,-0.107639061231506,0.09729265357730524,0.2685780200293676,0.8979516435067151,0.7420544451876199,1.0866010699154867,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e4,-0.055291266681616,0.15261344198555668,0.7171307142747033,0.9462095085094824,0.7015847227918526,1.2761287481161119,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e5,-0.13870769331405544,0.23745203432918346,0.559119149901081,0.8704824391104221,0.5465586375493543,1.386383133925325,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e6,0.08552152176679664,0.26331979538547196,0.745346091631194,1.089285004429637,0.6501284779831275,1.825088211112124,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e7,0.10715019393329313,0.11639206393798644,0.35726082846086793,1.1131014230060374,0.8860532298137472,1.3983299605583612,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e8,-0.06619735018500553,0.16193328799705387,0.6826908722277063,0.9359461369209514,0.6814130687613646,1.2855567516625246,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
e9,-0.06836132704209805,0.12217475800232606,0.5757951224398253,0.9339229609836324,0.735044782740569,1.1866108263505342,5411,0.8518241047213646,binomial_gee_exchangeable,note_id,full_hybrid,反讽与情绪
